Sentence,Score
Separately  at a time when the world s need for higher quantities of vaccine production grows  we are advancing our plans for producing high quantities of QS-   adjuvant from a renewable source.,0.031314609688706696
QS-   is an antigen-sparing adjuvant. What that means is that a vaccine formulation with QS-   may require as little as    -fold less antigen to achieve the same immune response.,0.0418863482773304
If this proves to be the case for some or most COVID-   vaccines  you can appreciate the potential implications of QS-   to be able to significantly increase global COVID-   manufacturing capacity -- that is vaccine manufacturing capacity without the need to add additional antigen production capabilities which is one of the major bottlenecks of today.,-0.05109625309705734
Several of these advancements I touched upon represent important milestones. We expect some of those to result in cash accretive corporate transactions starting in the second quarter of this year.,0.039205170003697276
In       we built on Agenus  foundation of innovation and integration. These are -- that is innovation and integration  are the key pillars of our business model. While COVID has posed challenges for many  including Agenus  we were early to anticipate and adjust to life in the very early stages of the pandemic.,0.027864934629178606
We ve also rapidly adjusted to address new needs such as iNKT cell therapy in patients with more severe infections of COVID-   who are dependent on life support. We published early data from the trial and expect to share more as our trial matures. Our teams are also preparing for the scenario of a rapid or emergency use path for iNKT cell therapy should the trial data look encouraging.,0.058069097402039915
But with all these adjustments  our whole mission is unchanged. We will continue to innovate and advance our programs with speed. This requires integrated capabilities to reduce our dependence on outsiders on one hand  but also very importantly retaining and continuing to acquire high talent.,0.11896512855309993
High talent density is key to our ability to deliver innovation. Recently  we welcomed stunning talent into our leadership team  and I will start with Dr. Steven O Day  our Chief Medical Officer  and our Chief Commercial Officer  Andy Hurley. These two professionals are among some of the most respected names in the field.,0.4281841449846979
Dr. O Day is a pioneer in immuno-oncology  and as a clinical investigator he has been an important contributor to the success we ve seen so far with AGEN    . As we advance in the discovery and development of high-performing immune therapies and particularly combinations  we need to have formidable players like Dr. O Day on our team.,0.3458717185858404
Dr. O Day played a key role in the successful development of Yervoy and Opdivo CTLA-  and PD-  agents as well as several other cancer therapies. He has the knowledge and expertise to build on our work with      cemented in place in the IO landscape and fully maximize the compound s potential as a blockbuster therapy for cancer patients.,0.1597560756126768
We have big plans for AGEN      and we ll pursue accelerated pathways to advance the molecule to the market. Andy Hurley will be a key driver of our aspirations to do this. In his role as Chief Commercial Officer  Andy joined us after three decades of building teams and commercializing product in biopharma. With the balstilimab BLA filing expected in the first half of this year  Andy will help establish Agenus as a commercial company with balstilimab as a key actor in our plans for our ambitious combination strategies.,0.108061164180981
Given our mission to develop impactful combinations for patients  Agenus requires clinical scientists with extensive and established expertise. Dr. Joe Grossman joined our team as Head of Exploratory Medicine from Harvard and Beth Israel. His specialty includes colorectal and pancreatic cancers. Dr. Grossman will drive our translational medicine strategy  which is a key aspect of Agenus  clinical development strategy.,0.07851540853516781
Dr. Jason Paragas  another recent addition to our team is an expert in data analysis and artificial intelligence. He formerly served with DARPA  working on threat detection for the U.S. government and associated defense departments. Jason joined us as Vice President of Strategic Initiatives. Jason will also be working with our team to industrialize and broaden the applications of our VISION response prediction technology. Next  Adam Krauss joined as Chief Legal and Compliance Officer to ensure our commercial readiness  and Marc Wiles joined as Vice President of Regulatory Affairs.,0.04876433609024389
It is a transformative period for Agenus and the value each of these team members bring will help drive a new level of success for the company. We understand the ambitious scale of our mission as we seek to disrupt an industry that has been challenged with disruptive demands. We believe marshalling the best people and resources is paramount to achieving success.,0.23875871545897098
I would now like to turn the call over to our President and Chief Operating Officer  Dr. Jennifer Buell.,0.06103072315454483
Jennifer Buell,0.0014714345597894862
Thank you Garo. As Garo indicated  our R D engine has been enormously productive with numerous discoveries  IND filings  and product candidates advancing in late-stage trials. As a result       was a period of significant data flow. We presented data updates on our programs at all of the leading oncology conferences last year. At SITC  AACR and ASCO  we presented data on clinical responses with       as well as the differentiation of our five lead molecules. And finally  we also presented data on our response predictive -- prediction platform VISION.,0.3164578736468684
With our TIGIT bispecific  AGEN      we presented data revealing the potential to broaden the activity beyond first generation of anti-TIGIT antibodies. We ve engineered an important region of the molecule the Fc region to improve responses  expand the population of responders  and generate monotherapy activity  which is not currently seen with TIGIT monospecific antibodies available today.,0.0145679691049736
More recently at ESMO just a few months ago  we presented preliminary data from the balstilimab monotherapy and bal zal combination studies  showing breakthrough activity in PD-L  positive and PD-L  negative cervical cancer patients. As we look into      including AACR next month  we will continue our aggressive approach to data presentation  providing clinical updates on our lead compounds including AGEN    .,0.015482909977436066
On our BLA filings  our rolling BLA filing for balstilimab monotherapy in second-line cervical cancer is underway. Initiated in September  we expect to complete the filing during the first half of this year. And as we disclosed in September  this timeline accommodates two additional late confirmed responders seen in our pivotal trial. We ll provide the FDA with six months of follow-up on those patients  as well as   -month median follow-up on all trial participants. We believe balstilimab s approval would represent a meaningful new option for the cervical cancer community.,0.01845350582152605
We note that pembrolizumab  KEYTRUDA is approved in the PD-L  positive population only and shows no clinical responses in PD-L  negative tumors. And in the largest IO clinical trial in this population to date in over     patients treated with balstilimab alone  we reported response rates of     in PD-L  positive patients and     in PD-L  negative patients. This compares favorably to KEYTRUDA  which has     responses in PD-L  positive tumors and no responses in PD-L  negative tumors.,0.008021618472412229
In addition  the durability of response in our pivotal trial was impressive  lasting approximately   .  months. This is not observed with chemotherapeutic options currently available for these patients.,0.4347612224519253
The duration of response is a hallmark of effective IO agents and ours far exceeds the limited duration of response  observed with chemotherapy for these patients. We believe  these clinical data  reveal emerging differential features of balstilimab.,0.053943592065479606
We plan to publish the full clinical data set of balstilimab  in refractory cervical cancer in a high-profile journal. Additionally  we will publish pre-clinical data from our vision platform  that further elucidates  bal s superior  tumor cell killing capabilities  compared to the leading commercially available PD-  antibodies.,0.023304452566662803
Regarding our plans for the balstilimab plus zalifrelimab BLA filing  we ve been in ongoing discussions with the FDA. The trial has completed enrollment. The patients have concluded the median of    months of follow-up. And we re collecting data  on late responses  in this trial as well.,0.03805197891779244
The data continues to improve as it matures  with response rates and most importantly  duration of those responses. Agenus will continue to keep the agency informed of additional data advancements. And as Garo just discussed  we plan to disclose the timing and strategy regarding bal  and zal  once bal s FDA filing has been accepted.,0.03977417730493471
Our first approval with balstilimab would mark a strategic milestone for Agenus. Having our own approved PD-  inhibitor would allow us the freedom and flexibility  for the development and commercial pricing of our combination regimens  with our own IO compounds  including CTLA-   TIGIT and novel molecules targeting myeloid pathways and beyond.,0.07550428347894922
In addition  we see a significant opportunity with our PD-   in combination with potential partnered programs. Regarding       to the emerging clinical profile of       again this is also an engineered antibody.,0.1342188428970985
We ve engineered the Fc region of the antibody  to improve its features. We designed       for superior efficacy with improved T cell priming and the capability to deplete  suppressive intra-tumoral regulatory T cells.,0.169904159498401
We ve also designed the molecule for better safety  avoiding complement-mediated toxicities and to broaden the patient population  who can benefit from CTLA- . That s because of improved binding to CD  . And we re seeing activity in patients  with both the low affinity and the high-affinity CD   allele.,0.2360603686538525
We believe AGEN     continues to show nothing less than extraordinary promise  as a differentiated anti-CTLA- . This potential is upheld  in the new data Agenus announced early in February that describes new  confirmed responses.,0.08936232887208462
As of February  a total of six confirmed responses with      monotherapy and      plus bal have been recorded -- reported in colon  ovarian and endometrial cancers  including two complete responses.,-0.015234931372106075
Further  we ve seen responses in cold tumors. These are tumors that have low tumor mutational burden  microsatellite stable disease and PD-L  negative tumors as well as BRCA negative tumors and tumors with a low affinity CD   allele.,-0.004907354057650082
This is what makes      unique. These are tumors where current IO therapy is largely ineffective. In addition  no debilitating neuroendocrine toxicities or liver toxicities have been observed  unlike what we see in patients treated with Yervoy  experiencing     to     toxicities.,0.14711971580982208
Looking ahead with       currently in Phase   development  our goal is a fast-to-market strategy  targeting indications that currently have few effective treatments. And in patients who have failed prior standard therapies.,0.08464952744543552
Trials are continuing with      alone  and in combination with balstilimab  with expanded cohorts  in microsatellite stable colorectal cancer  microsatellite stable endometrial cancer  non-small cell lung cancer and melanoma.,0.004156167298788205
With continued positive clinical data a registrational program expected to begin by the end of this year and it s with great excitement that we brought on board Dr. Steven O Day  an expert in delivering effective IO agents to patients with cancer.,0.46849606779869646
AGEN     alone and as the backbone of high-impact combination could be a foundational therapy  if approved  driving the next wave of IO treatments. Our initial registrational plan will focus on indications for rapid launch through the accelerated approval pathway as a monotherapy or on top of our PD-  or any approved PD- .,0.007680234397412278
Based on our preclinical and clinical data to-date  our ambitions with      plus PD-  are to be the dominant IO combination with the potential to overtake Yervoy and Opdivo or chemo and KEYTRUDA as the market leader. We re actively seeking the right partner to execute this strategy and dominate in this sector.,0.029357923893257976
At the upcoming AACR conference in April we ll present two abstracts featuring AGEN     alone and in combination with other IO mechanisms such as our anti-PD-  therapy  balstilimab. We ll showcase how the unique design of this molecule is expanding the benefit of this important target to drive responses in all polymorphic variants and the ability to provide clinical benefit in previously unresponsive tumors.,0.01565231612039497
We ll also show the benefit of adding      to other checkpoint inhibitors such as anti-PD-   anti-TIGIT  iNKT-activating therapy and adoptive T-cell therapy. Novel IO combinations will drive the next wave of IO therapy and Agenus believe that      alone and in combination with other mechanisms is the foundation of this next wave.,0.08651507741888054
Let s turn now for a moment to work on TIGIT. Not unlike CTLA-  and PD-   TIGIT is one of the key components in our immune system  it s found on T cells and by suppressing unnecessary activity like the activation of T cells  it helps keep the immune system properly balanced. Usually TIGIT is invaluable to good health  but in cancer patients TIGIT s suppression of the immune system allows tumors to grow.,0.07039600261487067
An important finding is that treatment with PD-  actually upregulates TIGIT consequently curbing the activity of TIGIT often using antibodies has become an area of intense R D efforts and anti-TIGIT therapy is set to be another breakthrough in IO. Agenus has two anti-TIGIT antibodies. This is AGEN     a monospecific antibody that s also engineered like AGEN     to improve performance.,0.043805943394545466
And AGEN      a bispecific antibody that includes a TIGIT arm that has also been engineered for Fc enhancement. As a potentially best-in-class agents we re prioritizing AGEN     for advancement into the clinic and expect to begin human studies this year. What makes AGEN     potential best-in-class  Similar to       we ve designed the front end of      for strong receptor binding in this case to TIGIT.,0.03147692600032315
We ve also engineered the Fc back-end for improved T cell and NK cell activation in order to more effectively unleash the immune system. We ve gone one step further with      by engineering it as a bispecific antibody  co-targeting a second tumor escape mechanism to create a double blockade against cancer escape. This dual blockade is designed to address a potential alternate escape mechanism to TIGIT therapy.,0.12369535220204853
Overall  we believe the combination of our Fc enhanced and co-targeting with our AGEN     bispecific gives it best-in-class potential. And as Garo mentioned  potentially provides strong efficacy not just in combination with other IO mechanisms  but also uniquely as a single agent. Some of this has already been demonstrated in preclinical tumor models and we eagerly anticipate clinical trials initiation this year.,0.32336781854974106
Our TIGIT strategy was also recently featured in our first episode of Agenus insights. This is our new R D mini-series that provides insight into impactful areas of research and Agenus  contributions to immuno-oncology. We encourage you to watch the replay and stay tuned for more episodes in the coming months.,0.15671981265040813
Through our AgenTus subsidiary  we ve developed a platform to produce invariant natural killer T cells or iNKTs. iNKTs are type of self-directed  intelligent immune cells  capable of producing responses from both the innate and the adaptive arms of the immune system.,0.0037898082882747985
iNKTs can combat multiple disease threats in an autonomous manner. In inflammatory disorders  iNKTs has helped to restore the balance of the immune system  correcting conditions like the cytokine storm that we see in patients with severe cases of COVID-  .,0.12342785368673503
Earlier this year  we announced preliminary Phase   data from our COVID trial currently ongoing. Dose escalation for an initiation into a Phase   trial is on track for the first half of this year and data readouts are expected in the fourth quarter.,0.008760258555412292
Now in cancer  iNKTs homing on tissues and direct the killing of tumor cells. They have an invariant TCR receptor. It doesn t need to be engineered to them. This will counter immune suppressor cells and block tumor escape mechanisms.,0.046909213066101074
You can imagine the benefit of this homing feature we observe in lung tissue in the infectious disease setting to be very impactful in diseases like lung cancer. And as the cell therapy iNKTs has the potential to be used on their own  and in combination with additional anti-cancer therapies such as those already in our pipeline.,0.12667801161296666
AgenTus  first iNKT Phase   trial in cancer is anticipated to start dosing during the first half of this year  and we re targeting human studies to be initiated in solid tumors soon thereafter.,-6.702262908220291e-06
And lastly  while we often discuss our IO pipeline compounds in isolation  there s clearly tremendous value in the combination potential for the cancer pathways we re targeting.,0.26121500972658396
PD-   CTLA-   TIGIT  iNKT therapy and other promising mechanisms and programs we have not yet discussed on this call. Stay tuned for more on these exciting developments in the balance of this year.,0.19704998325323686
I ll now turn the call over to our Chief Commercial Officer  Andy Hurley to elaborate on our excitement regarding AGEN    .,0.14617201825603843
Andy Hurley,0.0028687235462712124
Thank you  Jen. My decision to join the Agenus team was driven by the excitement we all feel and the opportunities we have here under one roof. I m also driven by our near-term prospects  which I believe could create substantial value.,0.46526911163527984
I m particularly excited by how we can take our PD-  balstilimab  and potentially grow it into a major franchise with a superior combination potential with AGEN    . I believe      will significantly expand the commercial opportunity of our anti-PD-  with the potential to outperform current IO combinations.,0.4735558340762509
The clinical results to date have been very exciting  both as a monotherapy and in combinations across a wide array of tumor types. Specifically  as Jen said  cold tumors  such as microsatellite stable tumors  represent a significant portion within colorectal and endometrial cancers.,0.28702027862891555
And traditional PD-  anti-CTLA-  inhibitor therapies have not been as effective here. These are tumors  which don t generally respond to cancer immunotherapy  and yet we are seeing responses with AGEN    .,-0.09399930108338594
Practically and conceptually  we re not limited to any tumor type if the current response trends we are seeing continue. It s really a function of picky patients certifications  which can get us to the finish line quickly and leverage this to expand on our broader opportunities.,0.2831140345952008
Having our own PD-  to pair with our superior CTLA-  and then having our own unique CTLA-   which can add significant value to our PD-   are advantages which are very exciting for us to pursue.,0.4181004316196777
And then  there s the rest of our pipeline  including our intelligent  cell therapy program  our vaccines and exciting pipeline of antibodies with compelling early data. I feel the privilege of working with an exceptional team of people across all disciplines.,0.3604965473350603
I have worked at highly successful companies  but what we have here is very unique and exciting. I hope to interact with you more frequently  and do a deeper dive on our commercial strategy to create something exceptional.,0.43838829186279327
I appreciate the opportunity to express my plans. And I ll now turn the call over to Christine Klaskin to review our financials.,0.4200915340334177
Christine Klaskin,0.0002519749104976654
Thank you  Andy. For the year ended December           we recognized revenue of     million  which includes revenue related to the upfront license fee from our transaction with Betta  in addition to noncash royalties and milestones earned. For the year ended       we recorded revenue of      million  which included revenue related to the upfront license fee from our transaction with Gilead and milestones earned in addition to non-cash royalties earned.,0.35048216560971923
Net loss for the fourth quarter was     million or   .   per share compared to a net loss for the same period in      of     million  or   .   per share. Net loss for      was      million  or   .   per share compared to a net loss for      of      million or   .   per share. We ended      with a cash balance of      million as compared to     million on December         .,-0.270648998208344
I will now turn the call back to Garo for concluding remarks.,-0.09254823438823223
Garo Armen,-0.023363035870715976
In closing  the progress Agenus has made in the past year has set the stage for an exciting     . We expect to achieve value driving corporate events  clinical and preclinical pipeline events starting in the second quarter of this year  and they will include completing our BLA filing for balstilimab monotherapy in second-line cervical cancer  preparing for commercial launch in the second line cervical cancer market  defining our BLA filing strategy for bal zal  clinical and preclinical data presentations at conferences  including or bal zal       TIGIT  iNKT cell therapy and other Agenus and partnered programs.,0.14005876029841602
Initiating clinical studies with our TIGIT program with the prioritization of AGEN      continuing with our Phase   development for AGEN     plus balstilimab with the goal of transitioning into registrational studies  continuing enrollment in the ongoing Phase   studies of iNKTs in COVID and in cancer  expanding Agenus  West capacity for internal and partnered manufacturing support  producing a sustainable supply of QS-   for partnered programs  and lastly delivering cash accretive corporate transactions starting in the second quarter of this year.,0.0031923851965984795
Thank you very much again for your interest. And now we re ready to open up for questions with myself. Dr. Buell  Andy Hurley  and Dr. Steven O Day present. John  Maybe it s the   our  ,0.49665810956503265
Jan Medina,-0.0013248022878542542
Liz  if you could get the Q A going please.,0.00920854788273573
Question-and-Answer Session,-0.00011117995018139482
Operator,-0.004182040225714445
 Operator Instructions  Our first question comes from the line of Biren Amin with Jefferies.,-0.00010693600052036345
Unidentified Analyst,-0.020186680369079113
Yeah. Hey  guys. This is Jeet on for Biren. Thanks for taking my questions. Congratulations on the progress to date. I m looking forward to updates this year. Could you just maybe walk me through the timing perhaps between the bal BLA filing  and when you actually anticipate submitting the combo and perhaps when ultimate approval is perhaps expected there  And then second  just if you could talk through perhaps some of your go-to-market efforts to this point and any goals for the remainder of this year  and if there s any color on discussions with payers or thoughts on pricing that would be great. Thank you.,0.2429593075066805
Garo Armen,-0.023363035870715976
Thank you  Biren. Let me start out addressing the bal zal question. As you know and as we sort of alluded to  as data matures  looking at our past performance with data disclosures  we re delighted to see that the data is getting better. And I think given the size of our company and given the enormous demands on us for regulatory undertakings  we ve made a decision several months ago which we articulated to the investment community that our first priority is to file our BLA with balstilimab. And once that s done  we will provide additional guidance for our timelines associated with our bal zal filing. And of course  that will include disclosure of more mature data which we re in the process of addressing both from a public disclosure perspective as well as disclosing it to the agency.,0.17037191265262663
Unidentified Analyst,-0.020186680369079113
Got it.,0.359866094077006
Garo Armen,-0.023363035870715976
As to go-to-market strategy  I m assuming you re talking about go-to-product market strategy. And with that  I think  Andy  are you prepared to give us some initial remarks ,0.005089277401566505
Andy Hurley,0.0028687235462712124
Sure. Yes  it s a good question. I ve been here in a limited amount of time  but I can tell you that the launch planning is underway. We re really evaluating how we re going to really address the unmet needs in the marketplace and position this product in a way that addresses those unmet needs both at a physician level as well as on a patient level.,0.277019189321436
At the patient level  you bring up the question on pricing and access  that s going to be one of our absolute paramount priorities is just to ensure unencumbered access to balstilimab  as we look at the landscape that that s going to follow. We look at this as a pivotal part in our relationship with payers because we don t believe this is going to be  of course  our first and only into the marketplace.,0.003202110528945923
We want to be able to follow on with other products  and establishing those relationships and making sure that they understand our goals  which is unencumbered patient access is going to be really key. So  we re going to be starting those discussions with payers. We ve done a lot of market research to understand really what are the drivers to position our product  and we re really encouraged by what we re hearing to be able to offer that in a setting both at the physician and patient level.,0.22754066169727594
So  I can tell you that I m week four into the role. And ultimately  I m very encouraged by the level of effort that s already been put in and our planning moving forward.,0.43629970715846866
Unidentified Analyst,-0.020186680369079113
Got it. And if I could just ask one more follow-up question. On       it seems like the AACR presentation will be fairly preclinical in nature. Just wanted to know if we can anticipate perhaps a robust clinical update on that perhaps later this year  and if we ll maybe get us a look at that Phase   data in colorectal  Thanks.,0.06709036231040955
Jennifer Buell,0.0014714345597894862
Hi  Jeet. Thanks for the question. Actually AACR certainly will include some pre-clinical information  but of course  we will also provide a clinical update on where we are with the programs  so stay tuned for more on that.,0.2101162683684379
Operator,-0.004182040225714445
Our next question comes from Mayank Mamtani with B. Riley Securities.,0.0009694130276329815
Mayank Mamtani,0.001143528614193201
Good morning team. Appreciate the comprehensive update and thanks for taking my questions  and great to have Dr. O Day and Andy be part of the discussion. So maybe just piggybacking on the previous question on the upcoming      clinical data at AACR  would you also have more updated cutoff relative to February    Could you just clarify that  And maybe Dr. O Day if you could comment on why MSS colorectal indication kind of makes the first to pursue as you think about fast  ph  to market  Can you just talk about the dynamics of that indication ,0.4015911358874291
Jennifer Buell,0.0014714345597894862
So  before I turn it over to Dr. O Day  Mayank  thanks for your question. At AACR  yes  we will have a more mature data than what we ve previously disclosed  and this will include more information on duration as well as potential new responses in the program too. Now  I ll turn it over to Dr. O Day to give you his thinking on MSS colorectal cancer.,0.25528024649247527
Steven O Day,0.002721953234868124
Thank you Mayank. Well  as Jenny said  I m new to the company in recent months  but I have had the unique opportunity to be involved with      over the course of the last several years both in learning about its exciting clinical drug design as well as pre-clinical data and then obviously being involved as the principal investigator in the      Phase   trial.,0.46009838706231676
What s exciting to me is the pre-clinical data of more activity and T-reg depletion  as well as more potential access to low affinity CD   alleles all seems to be playing out so far in the clinic with our Phase I trial.,0.42350969556719065
As you can imagine  with the competitive nature and approvals across I-O indications in solid tumors  Phase I trials attract fairly cold tumors that are MS-stable and there s no surprise that our trial has attracted those patients  particularly colorectal endometrial MS stable ovarian and others.,-0.026626940816640854
And what s exciting to me is to see objective responses  obviously in both      monotherapy in combinations in these cold tumors that are predominantly PD-L  negative MS stable low tumor burden  and interestingly  in CD   lower heterozygous affinity polymorphisms  which is all consistent with preclinical data.,0.2805581968277693
So given that fact  obviously  I m excited to be part of the development of this drug as we go forward. And colorectal MS stable cohorts are clearly a huge unmet need with a low bar in the second and third-line setting.,0.19955061748623848
So  we re going to follow the data and expand these cohorts in cold tumors as well as look at our warm-to-hot tumors  both lung and then cutaneous tumors  melanoma  and non-melanoma cutaneous skin tumors are real opportunities for us to look both at this agent and single agent as well as combination. So  it s going to be exciting coming year for me and my clinical team to develop this very exciting drug.,0.4838316076347837
Mayank Mamtani,0.001143528614193201
Fantastic. That s very helpful. And then on -- two quick ones for Jen  and I have one more for Garo to close. Jen  what would be the path for QS-   just from a clinical development standpoint  And also on the TIGIT bispecific  when do you expect disclosing the other target you re working on ,0.4972163720813114
Jennifer Buell,0.0014714345597894862
So Mayank  I m here. So let me start with TIGIT disclosing. As you can imagine  this is an incredibly competitive space. We have a bispecific that is a first of its kind we believe and it s designed really to address an entirely new area. So we will not be disclosing that anytime soon  but we ll certainly keep you informed as the data continue to progress both preclinically and then clinically and that may drive our decision on disclosures.,0.14728224999271333
For QS-    the development is really straightforward. So as you know  Bill   Melinda Gates Foundation had invested in our initiative to advance a sustainable supply of QS-  . We ve done so we re in the process of doing so  but we ve already generated early data and demonstrated the bio-comparability of this new supply compared to the previous clinic version  which is now in the approved Shingrix vaccine as you know.,0.2763389184838161
So the development is straightforward. It s preclinical comparability. And then the clinical program will be very abbreviated to bring this product into market with a number of vaccine products underway. And particularly  at this time when we see the criticality of effective vaccines  we know that historical vaccines no longer cut it. Flu vaccines at     efficacy just won t do it. So we need to improve our ability to take antigens allow for mass global production of those and this is where QS-   is really critical at antigen sparing allowing a fewer number or lower amount of antigens to actually be quite effective. As you see with Shingrix  it s over      up to     effective in adults and gets better with age. These are the kinds of findings that we re going to need across the board as we deal with these mutating viruses repeatedly.,-0.18353062868118286
Mayank Mamtani,0.001143528614193201
Okay. Very helpful. So I think a number of different disease indications that you may consider including flu  including COVID  even Shingrix. Understood. Then  last for Garo  as you think about the cash accretive transactions  just can you just high level talk to the framework that you guys are kind of evaluating internally. When you think about prosecuting these opportunities across the board more advanced late-stage versus earlier stage programs  Kind of  how do you think about a lot of push and pull that might be associated with these transactions ,0.05887800455093384
Garo Armen,-0.023363035870715976
Right. So all I can tell you right now is  stay tuned. As I said  in the second quarter  starting in the second quarter  we will see cash-accretive transactions including corporate transactions. So unfortunately  I cannot disclose anything more than that right now.,-0.3651132225058973
Mayank Mamtani,0.001143528614193201
Okay. Thanks for taking my questions.,0.42928380565717816
Operator,-0.004182040225714445
 Operator Instructions  Our next question comes from the line of Matt Phipps with William Blair.,-1.4206161722540855e-05
MattPhipps,0.021716057555750012
Good morning. Thanks for taking my question. So this morning Sanofi and Regeneron announced positive Phase III results of Libtayo in cervical cancer. I know you guys had previously kind of hinted at meeting to get that accelerated approval BLA in before a full approval was there. I assume  given you guys are close to finishing the bal BLA that the Phase III positive results aren t going to affect that at this point  but just wanted to confirm.,0.4069677162915468
Jennifer Buell,0.0014714345597894862
Hi Matt. Thanks for the question. Yes  I agree with you. So  the accelerated approval pathway remains open until full approval is granted in the same indication. Based on where we are with our filing  we don t believe this will impact our plans.,0.10741258691996336
MattPhipps,0.021716057555750012
And similarly  obviously  since the bal zal combo that accelerated pathway should still be there as well ,0.03634611889719963
Jennifer Buell,0.0014714345597894862
For bal zal combo  Absolutely  others actually -- we re the front-runner there.,0.20962722785770893
Matt Phipps,0.0006527676014229655
All right. Great. Thanks for taking the question.,0.4959939737454988
Jennifer Buell,0.0014714345597894862
Thanks  matt.,0.40837516728788614
Operator,-0.004182040225714445
I m showing no further questions in queue at this time. I d like to turn the call back to Garo Armen for closing remarks.,0.15924629382789135
Garo Armen,-0.023363035870715976
Thank you  very much everybody. I think we have covered some of the really important highlights. I know that there is considerable amount in our roster here. We do prioritize some of the most important near-term priorities for us and so bear with us. And I think  with our new star team or added star team  I m confident that we will be taking a number of these programs to the finish line expeditiously. Thank you  very much and we ll see you next time.,0.48374319401409593
Operator,-0.004182040225714445
Ladies and gentlemen  this concludes today s conference call. Thank you for participating. You may now disconnect.,0.2389737395569682
Alta Equipment Group Inc.  ALTG  CEO Ryan Greenawalt on Q       Results - Earnings Call Transcript,0.0011423673495301045
Mar.                PM ETAlta Equipment Group Inc.  ALTG ,0.00010361122986068949
Alta Equipment Group Inc.  NYSE ALTG  Q       Earnings Conference Call March               PM ET,0.0007462472640327178
Company Participants,0.045111452229321
